;;HPPO;HPPO;O;POTAMUS TRADING LLC;HPPO;BOSTON;WWW.POTAMUSTRADING.COM;Apr 14;ACTIVE;Apr 14;WHOLESALE MARKET MAKER FOR NMS EQUITIES.  ELECTRONIC TRADING SERVICES FOR OTHER BROKER-DEALER CLIENTS.
;;HRTF;HRTF;O;HUDSON RIVER TRADING (HRT);HRT;NEW YORK;WWW.HUDSON-TRADING.COM;Jul 18;ACTIVE;Jul 18;SINGLE DEALER PLATFORM.
;;HRTX;HRTX;O;HUDSON RIVER TRADING;HRT;NEW YORK;WWW.HUDSON-TRADING.COM;Mai 18;ACTIVE;Mai 18;SINGLE DEALER PLATFORM.
;;HSFX;HSFX;O;HOTSPOT FX;;JERSEY CITY;WWW.HOTSPOTFX.COM;Jan 09;ACTIVE;Jan 09;
;;IATS;IATS;O;INTERACTIVE BROKERS LLC - ATS;IATS;GREENWICH;WWW.INTERACTIVEBROKERS.COM;Sep 18;ACTIVE;Sep 18;IATS IS AN ALTERNATIVE TRADING SYSTEM OPERATED PURSUANT TO REGULATION ATS BY INTERACTIVE BROKERS LLC.
;;ICBX;XINS;S;INSTINET CBX (US);;NEW YORK;WWW.INSTINET.COM;Nov 08;ACTIVE;Nov 08;CONTINUOUS BLOCK CROSSING DESTINATION FOR US EQUITIES.
;;ICEL;ICEL;O;ISLAND ECN LTD, THE;;NEW YORK;WWW.ISLAND.COM;Jun 05;ACTIVE;Jun 05;
;;ICES;IFUS;S;ICE SWAP TRADE LLC;;NEW YORK;WWW.THEICE.COM;Dez 13;ACTIVE;Aug 13;SWAP EXECUTION FACILITY
;;ICRO;XINS;S;INSTINET VWAP CROSS;;NEW YORK;WWW.INSTINET.COM;Jun 09;ACTIVE;Jun 09;CALL MARKET CROSS PRICED AT THE DAY'S VWAP FOR US EQUITIES.
;;ICSU;BTEC;S;ICAP SEF (US)  LLC.;;JERSEY CITY;WWW.ICAP.COM;Nov 15;ACTIVE;Jul 14;SEF FOR TRADING CFTC REGULATED SWAPS
;;IDXM;IDXM;O;IDX MARKETS, LLC;;NEW YORK;WWW.IDXMARKETS.COM;Jun 21;ACTIVE;Jun 21;REGISTERED ALTERNATIVE TRADING SYSTEM (ATS) FOR FIXED INCOME STRUCTURED PRODUCTS.
;;IEPA;IFUS;S;INTERCONTINENTAL EXCHANGE;ICE;ATLANTA;WWW.THEICE.COM;Dez 13;ACTIVE;Mrz 08;
;;IEXD;IEXG;S;INVESTORS EXCHANGE - DARK;IEX;NEW YORK;WWW.IEXTRADING.COM;Jul 17;ACTIVE;Jul 17;
;;IEXG;IEXG;O;INVESTORS EXCHANGE;IEX;NEW YORK;WWW.IEXTRADING.COM;Sep 16;ACTIVE;Okt 13;
;;IFED;IFUS;S;ICE FUTURES U.S. ENERGY DIVISION;;NEW YORK;WWW.THEICE.COM;Dez 13;ACTIVE;Aug 12;
;;IFUS;IFUS;O;ICE FUTURES U.S.;;NEW YORK;WWW.THEICE.COM;Dez 13;ACTIVE;Okt 11;ELECTRONIC PLATFORM TO TRADE FUTURES AND OPTIONS PRODUCTS. IFUS REPLACES MIC ICUS.
;;IMAG;IFUS;S;ICE MARKETS AGRICULTURE;;ATLANTA;WWW.THEICE.COM;Dez 13;ACTIVE;Jun 11;ELECTRONIC PLATFORM TO TRADE FUTURES, OPTIONS AND OTC AGRICULTURAL PRODUCTS.
