Product Status;Instrument Status;Instrument;ISIN;Product ID;Instrument ID;WKN;Mnemonic;Primary Market MIC Code
Active;Active;HANETF-AHCL DLA;IE00BMFNW783;381739;6502685;000A3CPGE;7RIP;XDUB
Active;Active;HANETF-SOLENER DLA;IE00BMFNWC33;381740;6502686;000A3CPGF;TANN;XDUB
Active;Active;HANETF-CLEANLIV.ESG-S EOA;IE00BMFNWJ02;409980;6776047;000A3CPGK;DTOX;XDUB
Active;Active;HANETF-SASEQETF EOA;IE00BMGRZP89;392321;6606625;000A2QPZ9;ASWN;XDUB
Active;Active;GL XETF-GLXECOM DLA;IE00BMH5XY61;432883;7025994;000A2QPBX;E61Z;XDUB
Active;Active;GL X ETF-GXDCRSDI DLA;IE00BMH5Y327;442734;7121506;000A2QPB0;V9N;XDUB
Active;Active;GL X ETF-GXCYBERS DLA;IE00BMH5Y871;432885;7025996;000A2QPB2;BUG;XDUB
Active;Active;GL X ETF-GXCLDCOM DLA;IE00BMH5YF48;430716;7007369;000A2QPBV;CL0U;XDUB
Active;Active;GL X ETF-GXCLNTCH DLA;IE00BMH5YL08;432882;7025993;000A2QPB4;CT3C;XDUB
Active;Active;GL X ETF-GXAUTELV DLA;IE00BMH5YR69;432884;7025995;000A2QPBY;DR7E;XDUB
Active;Active;U.(I.)E-S+P D.A.ESG UE AD;IE00BMP3HG27;53357;2505450;000A11471;UBUM;XFRA
Active;Active;TABULA-TGIGCCS EFT(EO)EOA;IE00BMQ5Y557;287544;5578449;000A2P58Y;TCRS;XDUB
Active;Active;HANETF-ETCGD.ASS.BL.E.DLA;IE00BMQ8YK98;433239;7058232;000A3CT5D;KO1N;XDUB
Active;Active;HANETF-PESWESGS DLA;IE00BMQ8YQ50;396611;6667428;000A3CT5E;SOFT;XDUB
Active;Active;ISHSVI-ISH.SP500S.U.E.DLA;IE00BMTX1Y45;292040;5651494;000A2QAJB;I500;XAMS
Active;Active;VAN.-L.20EQ ETF EOA;IE00BMVB5K07;314660;5894932;000A2P7TN;V20A;XDUB
Active;Active;VAN.-L.20EQ ETF EOD;IE00BMVB5L14;314661;5894933;000A2P7TG;V20D;XDUB
Active;Active;VAN.-L.40EQ ETF EOA;IE00BMVB5M21;314662;5894934;000A2P7TJ;V40A;XDUB
Active;Active;VAN.-L.40EQ ETF EOD;IE00BMVB5N38;314663;5894935;000A2P7TL;V40D;XDUB
Active;Active;VAN.-L.60EQ ETF EOA;IE00BMVB5P51;314664;5894936;000A2P7TK;V60A;XDUB
Active;Active;VAN.-L.60EQ ETF EOD;IE00BMVB5Q68;314665;5894937;000A2P7TM;V60D;XDUB
Active;Active;VAN.-L.80EQ ETF EOA;IE00BMVB5R75;314666;5894938;000A2P7TF;V80A;XDUB
Active;Active;VAN.-L.80EQ ETF EOD;IE00BMVB5S82;314667;5894939;000A2P7TH;V80D;XDUB
Active;Active;INVESCOMI GS EQ F EUROPE;IE00BMW3NY56;142004;4120036;000A11562;SMLU;XDUB
Active;Active;L+G-L+G R.GBL ROB.AUTOM.;IE00BMW3QX54;230999;5140990;000A12DB1;IROB;XAMS
Active;Active;ISVP.-IS.M.ECSS EOA;IE00BMW42074;308800;5822682;000A2QBZ2;ESIS;XFRA
Active;Active;ISVP.-ISH.M.HCS EOA;IE00BMW42181;308801;5822683;000A2QBZ0;ESIH;XFRA
Active;Active;ISVP.-IS.M.ECDS EOA;IE00BMW42298;308802;5822684;000A2QBZ7;ESIC;XFRA
Active;Active;ISVP.-IS.M.EFS EOA;IE00BMW42306;308803;5822685;000A2QBZ4;ESIF;XFRA
Active;Active;ISVP.-IS.M.EITS EOA;IE00BMW42413;308804;5822686;000A2QBZ3;ESIT;XFRA
Active;Active;ISVP.-IS.M.EIS EOA;IE00BMW42520;369361;6397748;000A2QBZ6;ESIN;XFRA
Active;Active;ISVP.-IS.M.EES EOA;IE00BMW42637;308805;5822687;000A2QBZ1;ESIE;XFRA
Active;Active;HSBCE.HG SG T. HDA;IE00BMWXKN31;314825;5902388;000A2QHV0;H4ZX;XFRA
Active;Active;VANG.UK GILT HGDEOA;IE00BMX0B524;284903;5564052;000A2P742;VGUE;XDUB
Active;Active;VANG.USD TR. HGDEOA;IE00BMX0B631;284905;5564054;000A2P741;VDTE;XDUB
Active;Active;IS7-SP5 P.A.C. DLA;IE00BMXC7V63;491021;7615399;000A2QQYY;UQAB;XAMS
Active;Active;WDMTR.EUR.UN.BD EOA;IE00BMXWRM76;339561;6114377;000A2QGBX;W1TG;XETR
Active;Active;X(IE)-MSCI WORLD 2C EOH;IE00BMY76136;287841;5585714;000A2P63R;XZWE;XFRA
Active;Active;FLSHI DM LV CEE DLA;IE00BMYDBG17;346685;6198308;000A2QMT3;QVFD;XDUB
Active;Active;FLXSH EM HDCE E DLD;IE00BMYDBH24;414536;6856156;000A2QNBQ;QDFE;XFRA
Active;Active;FLSHI DM HD CEE DLD;IE00BMYDBM76;346686;6198309;000A2QMT4;QDFD;XDUB
Active;Active;FLXSH EM LVCE E DLA;IE00BMYDBN83;414537;6856157;000A2QNBP;QVFE;XFRA
Active;Active;LGUE-HYDR.ECO. DLA;IE00BMYDM794;337026;6097528;000A2QMAL;HTMW;XFRA
Active;Active;L+G-EU.EX UK EQ EOD;IE00BMYDM919;392158;6603559;000A2QK9U;LGGE;XLON
Active;Active;L+G QUEQDIESGEXASPAEXJ D;IE00BMYDMB35;392157;6603558;000A2QK9W;LGGA;XLON
Active;Active;LGUE-ESG GR.BD EOD;IE00BMYDMD58;339560;6114376;000A2QMAM;GBNB;XFRA
Active;Active;HANETF-S.AL-K.GL.F.EQ.EOA;IE00BMYMHS24;296485;5685598;000A2P5A6;ASWE;XDUB
Active;Active;ISIVMSCIWLDSRIU HEOD;IE00BMZ17W23;298324;5691242;000A2QDP2;UEEA;XFRA
